OBJECTID,Request_ID,Create_Date,Department,Request_Type,Address,District,Status,Close_Date,Origin,Latitude,Longitude,Year,GlobalID,created_user,created_date,last_edited_user,last_edited_date,x,y
1762,319407,1611767340000,Sanitation Department,Exchange Damage Container,1456 ROSEWOOD DR,7.0,Closed,1611955860000.0,Call Center,32.3349417,-86.2830054,2021,{6A216060-A25E-47D8-B815-972D2693BE54},,,,,517275.11741274595,667757.9138964862
1763,319408,1611767340000,FAQ,Ask 3-1-1,,,Closed,1611767340000.0,Call Center,0.0,0.0,2021,{9C173CE0-F187-4DC0-9F66-F2D8DE8A5D3B},,,,,NaN,NaN
1764,319409,1611767400000,FAQ,Ask 3-1-1,,,Closed,1611767400000.0,Call Center,0.0,0.0,2021,{0C4D460F-8159-4E8D-BA50-605015E78986},,,,,NaN,NaN
1765,319410,1611767520000,Sanitation Department,Inquiries,,,Closed,1611767520000.0,Call Center,0.0,0.0,2021,{3A0EADB6-C8E8-401F-9B0A-5AD7A08093E5},,,,,NaN,NaN
1766,319411,1611767640000,Street Maintenance,Curb/Gutter Clean up (dirt/debris),372 BURGWYN RD,5.0,Closed,1642093020000.0,Call Center,32.3237816,-86.3142021,2021,{92161519-2AC6-4AE7-B27B-05E290D6580C},,,,,507620.98153732717,663739.5990984887
1767,319412,1611767760000,FAQ,Ask 3-1-1,,,Closed,1611767760000.0,Call Center,0.0,0.0,2021,{A8DA321D-3A57-4BD4-8234-125A28097796},,,,,NaN,NaN
1768,319413,1611767760000,Street Maintenance,Clean Inlets,372 BURGWYN RD,5.0,Closed,1612189260000.0,Call Center,32.3237816,-86.3142021,2021,{56078968-F5BC-4BB1-BFFB-4CFB765A2235},,,,,507620.98153732717,663739.5990984887
1769,319414,1611768000000,Street Maintenance,Repair Inlets,8975 ALDERWOOD WAY,8.0,Closed,1730995680000.0,Call Center,32.3301482,-86.1332966,2021,{910E795F-463E-4A8D-BD14-78D07366868E},,,,,563511.464572411,665852.2001882419
1770,319415,1611768000000,Inspections Department,Utility Issues,417 MELANIE DR,1.0,Closed,1611946020000.0,Call Center,32.3724214,-86.2126137,2021,{CD1BD5B9-5C86-48A2-AA22-B3908F086FAB},,,,,539065.6653669961,681309.290993154
1771,319416,1611768060000,Building Maintenance,COM Electrical,329 EAST VANDIVER BLVD,3.0,Closed,1611852720000.0,Call Center,32.417846,-86.2773105,2021,{D4BAD260-AC01-4F06-B30C-24D7E0048D55},,,,,519159.28720082715,697912.2354774922
